,Province.State,Country.Region,Date.Schools,Date.Public Places,Date.Gatherings,Date.Stay at Home,Date.Lockdown,Date.Non-essential,Gatherings.limit,mandatory,notes
46,,Michigan,2020-03-12T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
47,,Minnesota,2020-03-15T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"Yes,Yes",","
48,,Mississippi,2020-03-18T00:00:00.000000000,,,,,,0,Yes,
49,,Missouri,2020-03-17T00:00:00.000000000,2020-03-23T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
50,,Montana,2020-03-15T00:00:00.000000000,2020-03-28T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
51,,Nebraska,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,50,"No,Yes,Yes","Place contingent depending on community transmission,Place contingent depending on community transmission,"
52,,Netherlands,2020-03-15T00:00:00.000000000,2020-03-15T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,3,"Yes,Yes,Yes",",,"
53,,Nevada,2020-03-16T00:00:00.000000000,,,,,2020-03-17T00:00:00.000000000,0,"Yes,Yes",","
54,,New Hampshire,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,[],,,,60,"No,Yes,Yes,Yes",",,,"
55,,New Jersey,2020-03-18T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
56,,New Mexico,2020-03-16T00:00:00.000000000,2020-03-15T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,2020-03-24T00:00:00.000000000,10,"Yes,Yes,Yes,No","Only partial restrictions (less than 50 percent of seating, tables six feet apart),,,"
57,,New York,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
58,,New Zealand,,,,2020-03-23T00:00:00.000000000,,,0,Yes,
59,,North Carolina,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,50,"Yes,Yes,Yes",",,"
60,,North Dakota,2020-03-15T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",","
61,,Norway,2020-03-12T00:00:00.000000000,2020-03-12T00:00:00.000000000,,,,,0,"Yes,Yes","Restrictions not total (could still dine in, for instance),"
62,,Ohio,2020-03-15T00:00:00.000000000,2020-03-15T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
63,,Oklahoma,2020-03-17T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,2020-03-25T00:00:00.000000000,10,"Yes,Yes,Yes",",,Only in counies with 'community spread'"
64,,Oregon,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
65,,Paraguay,2020-03-10T00:00:00.000000000,,2020-03-10T00:00:00.000000000,,,,1000,"Yes,Yes",",Large scale public events"
66,,Pennsylvania,2020-03-16T00:00:00.000000000,,,2020-03-23T00:00:00.000000000,,2020-03-17T00:00:00.000000000,0,"Yes,Yes,Yes",",,Not statewide"
67,,Peru,,,,2020-03-15T00:00:00.000000000,,,0,Yes,
68,,Poland,2020-03-12T00:00:00.000000000,2020-03-12T00:00:00.000000000,,,,,500,"Yes,Yes",","
69,,Portugal,2020-03-19T00:00:00.000000000,2020-03-19T00:00:00.000000000,,,,,0,"Yes,Yes","Fairlly substantial restrictions,"
70,,Puerto Rico,2020-03-16T00:00:00.000000000,,,2020-03-16T00:00:00.000000000,,,0,"Yes,Yes",","
71,,Rhode Island,2020-03-17T00:00:00.000000000,2020-03-17T00:00:00.000000000,[],,,2020-03-23T00:00:00.000000000,35,"Yes,Yes,Yes,No,No",",,,,"
